objective_value,dual_bound,solution,time,termination
0.0,0.0,0.0,12.24599,OPTIMAL
0.0,0.0,-0.0,12.24599,OPTIMAL
0.0,0.0,0.0,12.24599,OPTIMAL
0.0,0.0,6.125368411725002e-17,12.24599,OPTIMAL
0.0,0.0,-0.0,12.24599,OPTIMAL
0.0,0.0,0.0,12.24599,OPTIMAL
0.0,0.0,3.7999999999999865,12.24599,OPTIMAL
0.0,0.0,0.0,12.24599,OPTIMAL
0.0,0.0,0.0,12.24599,OPTIMAL
0.0,0.0,0.0,12.24599,OPTIMAL
0.0,0.0,0.0,12.24599,OPTIMAL
0.0,0.0,-0.0,12.24599,OPTIMAL
0.0,0.0,0.0,12.24599,OPTIMAL
0.0,0.0,0.0,12.24599,OPTIMAL
0.0,0.0,-0.0,12.24599,OPTIMAL
0.0,0.0,0.0,12.24599,OPTIMAL
0.0,0.0,0.0,12.24599,OPTIMAL
0.0,0.0,0.0,12.24599,OPTIMAL
0.0,0.0,-0.0,12.24599,OPTIMAL
0.0,0.0,-0.0,12.24599,OPTIMAL
0.0,0.0,0.0,12.24599,OPTIMAL
0.0,0.0,0.0,12.24599,OPTIMAL
0.0,0.0,0.0,12.24599,OPTIMAL
0.0,0.0,0.0,12.24599,OPTIMAL
0.0,0.0,0.0,12.24599,OPTIMAL
0.0,0.0,3.7999999999999963,12.24599,OPTIMAL
0.0,0.0,0.0,12.24599,OPTIMAL
0.0,0.0,0.0,12.24599,OPTIMAL
0.0,0.0,-6.125368411724994e-17,12.24599,OPTIMAL
0.0,0.0,0.0,12.24599,OPTIMAL
0.0,0.0,0.0,12.24599,OPTIMAL
0.0,0.0,0.0,12.24599,OPTIMAL
0.0,0.0,-0.0,12.24599,OPTIMAL
0.0,0.0,0.0,12.24599,OPTIMAL
0.0,0.0,0.0,12.24599,OPTIMAL
0.0,0.0,1.8999999999999968,12.24599,OPTIMAL
0.0,0.0,0.0,12.24599,OPTIMAL
0.0,0.0,0.0,12.24599,OPTIMAL
0.0,0.0,0.0,12.24599,OPTIMAL
0.0,0.0,-0.0,12.24599,OPTIMAL
0.0,0.0,0.0,12.24599,OPTIMAL
0.0,0.0,-0.0,12.24599,OPTIMAL
0.0,0.0,3.736474731152249e-15,12.24599,OPTIMAL
0.0,0.0,-0.0,12.24599,OPTIMAL
0.0,0.0,0.0,12.24599,OPTIMAL
0.0,0.0,0.0,12.24599,OPTIMAL
0.0,0.0,0.0,12.24599,OPTIMAL
