organism,time_limit,seed,mean,tolerance,termination_loopless_fba_gecko_tol_1.0e-8,objective_value_loopless_fba_gecko_tol_1.0e-8,time_loopless_fba_gecko_tol_1.0e-8,feasibility_loopless_fba_gecko_tol_1.0e-8,termination_combinatorial_benders_gecko_fast_big_m_tol_1.0e-8,objective_value_combinatorial_benders_gecko_fast_big_m_tol_1.0e-8,time_combinatorial_benders_gecko_fast_big_m_tol_1.0e-8,feasibility_combinatorial_benders_gecko_fast_big_m_tol_1.0e-8,termination_combinatorial_benders_gecko_fast_big_m_0.5_tol_1.0e-8,objective_value_combinatorial_benders_gecko_fast_big_m_0.5_tol_1.0e-8,time_combinatorial_benders_gecko_fast_big_m_0.5_tol_1.0e-8,feasibility_combinatorial_benders_gecko_fast_big_m_0.5_tol_1.0e-8
iLB1027_lipid,1800,10,1.2,1.0e-8,TIME_LIMIT,,1800.001808,false,ERROR,,NaN,false,ERROR,,NaN,false
iLB1027_lipid,1800,10,1.5,1.0e-8,TIME_LIMIT,,1800.030776,false,OPTIMAL,0.06739926413605123,12.954715013504028,true,OPTIMAL,0.06739926413605123,12.620200157165527,true
iND750,1800,10,1.0,1.0e-8,TIME_LIMIT,,1800.00035,false,OPTIMAL,0.51801677483366,7.652301073074341,true,OPTIMAL,0.51801677483366,7.790385007858276,true
iND750,1800,10,1.2,1.0e-8,TIME_LIMIT,0.0,1800.000363,false,OPTIMAL,0.8210012600145401,7.530508995056152,true,OPTIMAL,0.8210012600145401,7.674918174743652,true
iND750,1800,10,1.5,1.0e-8,TIME_LIMIT,1.6327792114422865,1800.000292,false,OPTIMAL,1.6381128746489695,7.526052951812744,true,OPTIMAL,1.6381128746489695,7.945038080215454,true
iSFxv_1172,1800,10,1.0,1.0e-8,TIME_LIMIT,,1800.001792,false,OPTIMAL,0.36698082791486464,7.488262891769409,true,OPTIMAL,0.36698082791486464,8.464566946029663,true
iSFxv_1172,1800,10,1.2,1.0e-8,OPTIMAL,0.0,1568.590605,true,OPTIMAL,0.5835656604705471,7.546834945678711,true,OPTIMAL,0.5835656604705471,8.292350769042969,true
iSFxv_1172,1800,10,1.5,1.0e-8,TIME_LIMIT,,1800.001557,false,OPTIMAL,1.167668057451226,7.739697217941284,true,OPTIMAL,1.167668057451226,8.503105878829956,true
iYO844,1800,10,1.0,1.0e-8,OPTIMAL,0.0,29.603995,true,ERROR,,NaN,false,ERROR,,NaN,false
iYO844,1800,10,1.2,1.0e-8,OPTIMAL,0.0,0.5450119999999999,true,ERROR,,NaN,false,ERROR,,NaN,false
iYO844,1800,10,1.5,1.0e-8,OPTIMAL,0.0,0.530992,true,ERROR,,NaN,false,ERROR,,NaN,false
iYS1720,1800,10,1.0,1.0e-8,TIME_LIMIT,,1800.001192,false,ERROR,,NaN,false,ERROR,,NaN,false
iYS1720,1800,10,1.2,1.0e-8,TIME_LIMIT,,1800.002317,false,OPTIMAL,0.9324892502507987,19.95283007621765,true,OPTIMAL,0.9324892502507987,22.056538820266724,true
iYS1720,1800,10,1.5,1.0e-8,TIME_LIMIT,0.0,1800.000967,false,OPTIMAL,1.9246988288567453,10.042659044265747,true,OPTIMAL,1.9246988288567453,10.059678077697754,true
iZ_1308,1800,10,1.0,1.0e-8,TIME_LIMIT,0.0,1800.001394,false,ERROR,,NaN,false,ERROR,,NaN,false
iZ_1308,1800,10,1.2,1.0e-8,TIME_LIMIT,0.0,1800.000837,false,OPTIMAL,1.2389365041366796,8.541078090667725,true,OPTIMAL,1.2389365041366796,9.541454076766968,true
iZ_1308,1800,10,1.5,1.0e-8,TIME_LIMIT,0.0,1800.000721,false,ERROR,,NaN,false,ERROR,,NaN,false
