organism,time_limit,seed,mean,tolerance,termination_loopless_fba_gecko_tol_1.0e-8,objective_value_loopless_fba_gecko_tol_1.0e-8,time_loopless_fba_gecko_tol_1.0e-8,feasibility_loopless_fba_gecko_tol_1.0e-8,iter_loopless_fba_gecko_tol_1.0e-8,termination_combinatorial_benders_gecko_fast_big_m_tol_1.0e-8,objective_value_combinatorial_benders_gecko_fast_big_m_tol_1.0e-8,time_combinatorial_benders_gecko_fast_big_m_tol_1.0e-8,feasibility_combinatorial_benders_gecko_fast_big_m_tol_1.0e-8,iter_combinatorial_benders_gecko_fast_big_m_tol_1.0e-8,termination_combinatorial_benders_gecko_fast_big_m_0.5_tol_1.0e-8,objective_value_combinatorial_benders_gecko_fast_big_m_0.5_tol_1.0e-8,time_combinatorial_benders_gecko_fast_big_m_0.5_tol_1.0e-8,feasibility_combinatorial_benders_gecko_fast_big_m_0.5_tol_1.0e-8,iter_combinatorial_benders_gecko_fast_big_m_0.5_tol_1.0e-8
iAPECO1_1312,1800,10,5.0,1.0e-8,TIME_LIMIT,,1800.000559,false,,ERROR,,NaN,false,,ERROR,,NaN,false,
iECB_1328,1800,10,1.0,1.0e-8,TIME_LIMIT,0.0,1800.001886,false,,OPTIMAL,0.3943778695351155,13.188517093658447,true,1,OPTIMAL,0.3943778695351155,14.37033200263977,true,1
iECB_1328,1800,10,1.2,1.0e-8,TIME_LIMIT,,1800.005413,false,,OPTIMAL,0.6423381647870913,7.7112579345703125,true,1,OPTIMAL,0.6423381647870913,8.55149507522583,true,1
iECB_1328,1800,10,1.5,1.0e-8,TIME_LIMIT,,1800.000868,false,,OPTIMAL,1.3110407980890544,11.45565390586853,true,1,OPTIMAL,1.3110407980890544,12.599063873291016,true,1
iECB_1328,1800,10,4.0,1.0e-8,TIME_LIMIT,,1800.000939,false,,OPTIMAL,31.288678150078137,42.24252104759216,true,24,ERROR,,NaN,false,
iECB_1328,1800,10,5.0,1.0e-8,TIME_LIMIT,,1800.000957,false,,ERROR,,NaN,false,,ERROR,,NaN,false,
iETEC_1333,1800,10,1.0,1.0e-8,TIME_LIMIT,,1800.000986,false,,OPTIMAL,0.13200702700619066,8.071705102920532,true,1,OPTIMAL,0.13200702700619066,9.11127495765686,true,1
iETEC_1333,1800,10,1.2,1.0e-8,TIME_LIMIT,,1800.001201,false,,OPTIMAL,0.2279878437748349,8.037649154663086,true,1,OPTIMAL,0.2279878437748349,8.893173933029175,true,1
iETEC_1333,1800,10,1.5,1.0e-8,TIME_LIMIT,,1800.00128,false,,OPTIMAL,0.48683620343004597,8.50923204421997,true,1,OPTIMAL,0.48683620343004597,9.509262084960938,true,1
iETEC_1333,1800,10,4.0,1.0e-8,OPTIMAL,0.0,104.667509,true,,ERROR,,NaN,false,,ERROR,,NaN,false,
iETEC_1333,1800,10,5.0,1.0e-8,OPTIMAL,0.0,92.479611,true,,ERROR,,NaN,false,,ERROR,,NaN,false,
iHN637,1800,10,1.0,1.0e-8,OPTIMAL,0.6621751382792723,27.933522,true,,OPTIMAL,0.662175165463256,4.855484962463379,true,1,OPTIMAL,0.662175165463256,5.34356689453125,true,1
iHN637,1800,10,1.2,1.0e-8,OPTIMAL,1.0507924505625466,22.319085,true,,OPTIMAL,1.0507924505625454,5.302804946899414,true,1,OPTIMAL,1.0507924505625454,5.320267915725708,true,1
iHN637,1800,10,1.5,1.0e-8,OPTIMAL,2.0988451893855187,5.940455,true,,OPTIMAL,2.098845230175234,5.284198045730591,true,1,OPTIMAL,2.098845230175234,5.341193914413452,true,1
iHN637,1800,10,4.0,1.0e-8,OPTIMAL,24.012283770407038,7.28971,true,,OPTIMAL,24.012283770406466,6.839070081710815,false,1,OPTIMAL,24.012283770406466,6.204901218414307,false,1
iHN637,1800,10,5.0,1.0e-8,OPTIMAL,24.012283770406693,2.246602,true,,ERROR,,NaN,false,,OPTIMAL,24.012283770251088,7.790832996368408,true,8
iJB785,1800,10,1.0,1.0e-8,OPTIMAL,0.0,0.4942,true,,OPTIMAL,0.008427924279038162,4.7094151973724365,true,1,OPTIMAL,0.008427924279038162,5.341230154037476,true,1
iJB785,1800,10,1.2,1.0e-8,OPTIMAL,0.0,0.218942,true,,ERROR,,NaN,false,,ERROR,,NaN,false,
iJB785,1800,10,1.5,1.0e-8,OPTIMAL,0.0,0.298938,true,,ERROR,,NaN,false,,ERROR,,NaN,false,
iJB785,1800,10,4.0,1.0e-8,OPTIMAL,0.0,0.328484,true,,ERROR,,NaN,false,,ERROR,,NaN,false,
iJB785,1800,10,5.0,1.0e-8,OPTIMAL,0.0,0.33938599999999997,true,,ERROR,,NaN,false,,ERROR,,NaN,false,
iLB1027_lipid,1800,10,1.0,1.0e-8,TIME_LIMIT,0.0,1800.001646,false,,OPTIMAL,0.021313502200321063,12.523854970932007,true,1,OPTIMAL,0.021313502200321063,12.488582134246826,true,1
iLB1027_lipid,1800,10,1.2,1.0e-8,TIME_LIMIT,,1800.001808,false,,ERROR,,NaN,false,,ERROR,,NaN,false,
iLB1027_lipid,1800,10,1.5,1.0e-8,TIME_LIMIT,,1800.030776,false,,OPTIMAL,0.06739926413605123,12.954715013504028,true,1,OPTIMAL,0.06739926413605123,12.620200157165527,true,1
iLB1027_lipid,1800,10,4.0,1.0e-8,TIME_LIMIT,,1800.00115,false,,OPTIMAL,1.8215509500270957,15.498013019561768,true,2,OPTIMAL,1.8215509500270957,22.173150062561035,true,1
iLB1027_lipid,1800,10,5.0,1.0e-8,TIME_LIMIT,0.0,1800.003251,false,,OPTIMAL,1.8215509500271183,252.65883088111877,true,80,OPTIMAL,1.8215509500270428,61.54986095428467,true,4
iND750,1800,10,1.0,1.0e-8,TIME_LIMIT,,1800.00035,false,,OPTIMAL,0.51801677483366,7.652301073074341,true,1,OPTIMAL,0.51801677483366,7.790385007858276,true,1
iND750,1800,10,1.2,1.0e-8,TIME_LIMIT,0.0,1800.000363,false,,OPTIMAL,0.8210012600145401,7.530508995056152,true,1,OPTIMAL,0.8210012600145401,7.674918174743652,true,1
iND750,1800,10,1.5,1.0e-8,TIME_LIMIT,1.6327792114422865,1800.000292,false,,OPTIMAL,1.6381128746489695,7.526052951812744,true,1,OPTIMAL,1.6381128746489695,7.945038080215454,true,1
iND750,1800,10,4.0,1.0e-8,TIME_LIMIT,0.0,1800.000441,false,,OPTIMAL,518.6962591654623,9.4792320728302,true,7,OPTIMAL,518.6962591654592,7.803577184677124,true,2
iND750,1800,10,5.0,1.0e-8,INFEASIBLE,,16.718572,false,,ERROR,,NaN,false,,ERROR,,NaN,false,
iSFxv_1172,1800,10,1.0,1.0e-8,TIME_LIMIT,,1800.001792,false,,OPTIMAL,0.36698082791486464,7.488262891769409,true,1,OPTIMAL,0.36698082791486464,8.464566946029663,true,1
